| Cross | Product (?) | Sum (+) |
| 0116 |   **304** | **35** |
| 0117 |   **352** | **38** |
| 0118 |   **270** | **33** |
| 0119 |   **248** | **39** |
| 0120 |   **161** | **30** |
| 0121 |   **182** | **33** |
| 0122 |   **525** | **46** |
| 0123 |   **540** | **47** |
| 0124 |   **90** | **33** |
| 0125 |   **255** | **32** |
| 0126 |   **325** | **38** |
| 0127 |   **400** | **41** |
| 0128 |   **294** | **35** |
| 0129 |   **558** | **49** |
| 0130 |   **78** | **19** |
| 0131 |   **153** | **26** |
| 0132 |   **650** | **51** |
| 0133 |   **360** | **38** |
| 0134 |   **744** | **55** |
| 0135 |   **270** | **33** |
| 0136 |   **372** | **43** |
| 0137 |   **44** | **15** |
| 0138 |   **161** | **30** |
| 0139 |   **345** | **38** |
| 0140 |   **90** | **33** |
| 0141 |   **10** | **7** |
| 0142 |   **390** | **41** |
| 0143 |   **456** | **43** |
| 0144 |   **55** | **16** |
| 0145 |   **22** | **23** |
| 0146 |   **175** | **32** |
| 0147 |   **299** | **36** |
| 0148 |   **136** | **25** |
| 0149 |   **52** | **17** |
| 0150 |   **175** | **32** |
| 0151 |   **22** | **23** |
| 0152 |   **170** | **27** |
| 0153 |   **375** | **40** |
| 0154 |   **351** | **40** |
| 0155 |   **174** | **35** |
| 0156 |   **69** | **26** |
| 0157 |   **116** | **33** |
| 0158 |   **42** | **23** |
| 0159 |   **224** | **36** |
| 0160 |   **207** | **32** |
| 0161 |   **252** | **37** |
| 0162 |   **30** | **17** |
| 0163 |   **138** | **29** |
| 0164 |   **40** | **22** |
| 0165 |   **294** | **35** |
| 0166 |   **44** | **24** |
| 0167 |   **364** | **41** |
| 0168 |   **198** | **31** |
| 0169 |   **184** | **31** |
| 0170 |   **320** | **36** |
| 0171 |   **120** | **26** |
| 0172 |   **336** | **38** |
| 0173 |   **162** | **27** |
| 0174 |   **456** | **43** |
| 0175 |   **357** | **38** |
| 0176 |   **60** | **17** |
| 0177 |   **209** | **30** |
| 0178 |   **200** | **30** |
| 0179 |   **56** | **18** |
| 0180 |   **702** | **53** |
| 0181 |   **870** | **59** |
| 0182 |   **216** | **33** |
| 0183 |   **140** | **33** |
| 0184 |   **72** | **22** |
| 0185 |   **392** | **42** |
| 0186 |   **522** | **47** |
| 0187 |   **32** | **18** |
| 0188 |   **147** | **28** |
| 0189 |   **496** | **47** |
| 0190 |   **133** | **26** |
| 0191 |   **493** | **46** |
| 0192 |   **98** | **21** |
| 0193 |   **116** | **33** |
| 0194 |   **375** | **40** |
| 0195 |   **648** | **51** |
| 0196 |   **144** | **25** |
| 0197 |   **60** | **23** |
| 0198 |   **8** | **9** |
| 0199 |   **18** | **9** |
| 0200 |   **260** | **36** |
| 0201 |   **728** | **54** |
| 0202 |   **160** | **28** |
| 0203 |   **153** | **26** |
| 0204 |   **186** | **37** |
| 0205 |   **252** | **32** |
| 0206 |   **138** | **29** |
| 0207 |   **323** | **36** |
| 0208 |   **396** | **40** |
| 0209 |   **28** | **29** |
| 0210 |   **87** | **32** |
| 0211 |   **580** | **49** |
| 0212 |   **248** | **39** |
| 0213 |   **42** | **23** |
| 0214 |   **24** | **14** |
| 0215 |   **297** | **38** |
| 0216 |   **408** | **41** |
| 0217 |   **80** | **24** |
| 0218 |   **308** | **36** |
| 0219 |   **600** | **49** |
| 0220 |   **128** | **24** |
| 0221 |   **87** | **32** |
| 0222 |   **18** | **9** |
| 0223 |   **486** | **45** |
| 0224 |   **24** | **11** |
| 0225 |   **120** | **22** |
| 0226 |   **648** | **51** |
| 0227 |   **228** | **31** |
| 0228 |   **27** | **28** |
| 0229 |   **16** | **10** |
| 0230 |   **364** | **41** |
| 0231 |   **675** | **52** |
| 0232 |   **162** | **27** |
| 0233 |   **357** | **38** |
| 0234 |   **90** | **33** |
| 0235 |   **432** | **42** |
| 0236 |   **60** | **17** |
| 0237 |   **240** | **38** |
| 0238 |   **315** | **36** |
| 0239 |   **540** | **48** |
| 0240 |   **325** | **38** |
| 0241 |   **620** | **51** |
| 0242 |   **170** | **27** |
| 0243 |   **20** | **12** |
| 0244 |   **299** | **36** |
| 0245 |   **69** | **26** |
| 0246 |   **783** | **56** |
| 0247 |   **540** | **47** |
| 0248 |   **420** | **41** |
| 0249 |   **22** | **13** |
| 0250 |   **120** | **26** |
| 0251 |   **126** | **25** |
| 0252 |   **486** | **45** |
| 0253 |   **348** | **41** |
| 0254 |   **56** | **30** |
| 0255 |   **336** | **37** |
| 0256 |   **325** | **38** |
| 0257 |   **133** | **26** |
| 0258 |   **54** | **21** |
| 0259 |   **100** | **25** |
| 0260 |   **638** | **51** |
| 0261 |   **486** | **45** |
| 0262 |   **8** | **9** |
| 0263 |   **500** | **45** |
| 0264 |   **150** | **25** |
| 0265 |   **220** | **32** |
| 0266 |   **150** | **25** |
| 0267 |   **522** | **47** |
| 0268 |   **432** | **42** |
| 0269 |   **25** | **26** |
| 0270 |   **54** | **29** |
| 0271 |   **240** | **34** |
| 0272 |   **364** | **40** |
| 0273 |   **540** | **48** |
| 0274 |   **234** | **31** |
| 0275 |   **3735** | **128** |
| 0276 |   **352** | **38** |
| 0277 |   **400** | **41** |
| 0278 |   **186** | **37** |
| 0279 |   **527** | **48** |
| 0280 |   **150** | **31** |
| 0281 |   **138** | **29** |
| 0282 |   **810** | **57** |
| 0283 |   **320** | **36** |
| 0284 |   **638** | **51** |
| 0285 |   **360** | **42** |
| 0286 |   **162** | **33** |
| 0287 |   **630** | **51** |
| 0288 |   **319** | **40** |
| 0289 |   **506** | **45** |
| 0290 |   **528** | **46** |
| 0291 |   **112** | **32** |
| 0292 |   **100** | **29** |
| 0293 |   **161** | **30** |
| 0294 |   **38** | **21** |
| 0295 |   **567** | **48** |
| 0296 |   **189** | **34** |
| 0297 |   **56** | **30** |
| 0298 |   **348** | **41** |
| 0299 |   **494** | **45** |
| 0300 |   **135** | **24** |
| 0301 |   **348** | **41** |
| 0302 |   **432** | **42** |
| 0303 |   **133** | **26** |
| 0304 |   **210** | **29** |
| 0305 |   **650** | **51** |
| 0306 |   **558** | **49** |
| 0307 |   **30** | **11** |
| 0308 |   **832** | **58** |
| 0309 |   **30** | **17** |
| 0310 |   **96** | **28** |
| 0311 |   **700** | **53** |
| 0312 |   **76** | **23** |
| 0313 |   **210** | **31** |
| 0314 |   **594** | **49** |
| 0315 |   **260** | **33** |
| 0316 |   **125** | **30** |
| 0317 |   **324** | **39** |
| 0318 |   **84** | **19** |
| 0319 |   **6** | **5** |
| 0320 |   **580** | **49** |
| 0321 |   **29** | **30** |
| 0322 |   **18** | **9** |
| 0323 |   **744** | **55** |
| 0324 |   **24** | **14** |
| 0325 |   **414** | **41** |
| 0326 |   **10** | **11** |
| 0327 |   **690** | **53** |
| 0328 |   **390** | **41** |
| 0329 |   **270** | **39** |
| 0330 |   **624** | **50** |
| 0331 |   **377** | **42** |
| 0332 |   **180** | **29** |
| 0333 |   **392** | **42** |
| 0334 |   **20** | **9** |
| 0335 |   **136** | **25** |
| 0336 |   **16** | **17** |
| 0337 |   **290** | **39** |
| 0338 |   **72** | **22** |
| 0339 |   **35** | **12** |
| 0340 |   **27** | **28** |
| 0341 |   **105** | **26** |
| 0342 |   **24** | **25** |
| 0343 |   **374** | **39** |
| 0344 |   **15** | **8** |
| 0345 |   **192** | **32** |
| 0346 |   **273** | **34** |
| 0347 |   **720** | **54** |
| 0348 |   **396** | **40** |
| 0349 |   **345** | **38** |
| 0350 |   **175** | **32** |
| 0351 |   **868** | **59** |
| 0352 |   **234** | **31** |
| 0353 |   **32** | **12** |
| 0354 |   **468** | **44** |
| 0355 |   **18** | **11** |
| 0356 |   **368** | **39** |
| 0357 |   **364** | **40** |
| 0358 |   **30** | **31** |
| 0359 |   **352** | **38** |
| 0360 |   **126** | **27** |
| 0361 |   **494** | **45** |
| 0362 |   **2793** | **106** |
| 0363 |   **448** | **44** |
| 0364 |   **144** | **25** |
| 0365 |   **360** | **38** |
| 0366 |   **72** | **17** |
| 0367 |   **476** | **45** |
| 0368 |   **150** | **25** |
| 0369 |   **300** | **35** |
| 0370 |   **38** | **21** |
| 0371 |   **12** | **7** |
| 0372 |   **228** | **31** |
| 0373 |   **350** | **39** |
| 0374 |   **240** | **38** |
| 0375 |   **405** | **42** |
| 0376 |   **264** | **34** |
| 0377 |   **300** | **40** |
| 0378 |   **364** | **40** |
| 0379 |   **286** | **35** |
| 0380 |   **168** | **31** |
| 0381 |   **189** | **30** |
| 0382 |   **648** | **51** |
| 0383 |   **2** | **3** |
| 0384 |   **70** | **19** |
| 0385 |   **44** | **24** |
| 0386 |   **396** | **40** |
| 0387 |   **390** | **41** |
| 0388 |   **30** | **31** |
| 0389 |   **450** | **43** |
| 0390 |   **112** | **32** |
| 0391 |   **198** | **29** |
| 0392 |   **16** | **10** |
| 0393 |   **616** | **50** |
| 0394 |   **330** | **41** |
| 0395 |   **308** | **36** |
| 0396 |   **160** | **26** |
| 0397 |   **38** | **21** |
| 0398 |   **600** | **49** |
| 0399 |   **480** | **44** |
| 0400 |   **84** | **20** |
| 0401 |   **450** | **45** |
| 0402 |   **216** | **33** |
| 0403 |   **280** | **38** |
| 0404 |   **180** | **27** |
| 0405 |   **558** | **49** |
| 0406 |   **462** | **43** |
| 0407 |   **378** | **39** |
| 0408 |   **234** | **35** |
| 0409 |   **14** | **15** |
| 0410 |   **312** | **37** |
| 0411 |   **65** | **18** |
| 0412 |   **266** | **33** |
| 0413 |   **756** | **55** |
| 0414 |   **14** | **9** |
| 0415 |   **198** | **31** |
| 0416 |   **200** | **33** |
| 0417 |   **432** | **43** |
| 0418 |   **182** | **33** |
| 0419 |   **29** | **30** |
| 0420 |   **630** | **51** |
| 0421 |   **899** | **60** |
| 0422 |   **182** | **27** |
| 0423 |   **154** | **29** |
| 0424 |   **60** | **23** |
| 0425 |   **26** | **15** |
| 0426 |   **52** | **17** |
| 0427 |   **558** | **49** |
| 0428 |   **132** | **28** |
| 0429 |   **40** | **14** |
| 0430 |   **60** | **16** |
| 0431 |   **330** | **37** |
| 0432 |   **46** | **25** |
| 0433 |   **30** | **11** |
| 0434 |   **27** | **12** |
| 0435 |   **336** | **37** |
| 0436 |   **196** | **35** |
| 0437 |   **24** | **10** |
| 0438 |   **308** | **36** |
| 0439 |   **580** | **49** |
| 0440 |   **216** | **35** |
| 0441 |   **150** | **25** |
| 0442 |   **64** | **20** |
| 0443 |   **391** | **40** |
| 0444 |   **14** | **15** |
| 0445 |   **270** | **37** |
| 0446 |   **20** | **12** |
| 0447 |   **252** | **33** |
| 0448 |   **75** | **28** |
| 0449 |   **435** | **44** |
| 0450 |   **620** | **51** |
| 0451 |   **425** | **42** |
| 0452 |   **416** | **42** |
| 0453 |   **119** | **24** |
| 0454 |   **378** | **39** |
| 0455 |   **13** | **14** |
| 0456 |   **580** | **49** |
| 0457 |   **504** | **45** |
| 0458 |   **288** | **36** |
| 0459 |   **520** | **46** |
| 0460 |   **210** | **31** |
| 0461 |   **240** | **34** |
| 0462 |   **630** | **51** |
| 0463 |   **377** | **42** |
| 0464 |   **144** | **25** |
| 0465 |   **128** | **24** |
| 0466 |   **108** | **24** |
| 0467 |   **165** | **26** |
| 0468 |   **620** | **51** |
| 0469 |   **270** | **33** |
| 0470 |   **460** | **43** |
| 0471 |   **60** | **19** |
| 0472 |   **34** | **19** |
| 0473 |   **162** | **33** |
| 0474 |   **330** | **37** |
| 0475 |   **672** | **52** |
| 0476 |   **168** | **29** |
| 0477 |   **552** | **47** |
| 0478 |   **60** | **17** |
| 0479 |   **84** | **20** |
| 0480 |   **375** | **40** |
| 0481 |   **46** | **25** |
| 0482 |   **65** | **18** |
| 0483 |   **18** | **11** |
| 0484 |   **434** | **45** |
| 0485 |   **360** | **38** |
| 0486 |   **120** | **26** |
| 0487 |   **120** | **22** |
| 0488 |   **240** | **31** |
| 0489 |   **115** | **28** |
| 0490 |   **87** | **32** |
| 0491 |   **12** | **13** |
| 0492 |   **306** | **35** |
| 0493 |   **224** | **30** |
| 0494 |   **310** | **41** |
| 0495 |   **325** | **38** |
| 0496 |   **468** | **44** |
| 0497 |   **696** | **53** |
| 0498 |   **260** | **33** |
| 0499 |   **48** | **16** |
| 0500 |   **253** | **34** |
| 0501 |   **140** | **27** |
| 0502 |   **62** | **33** |
| 0503 |   **192** | **28** |
| 0504 |   **600** | **50** |
| 0505 |   **15** | **16** |
| 0506 |   **285** | **34** |
| 0507 |   **600** | **50** |
| 0508 |   **200** | **30** |
| 0509 |   **48** | **26** |
| 0510 |   **252** | **33** |
| 0511 |   **460** | **43** |
| 0512 |   **580** | **49** |
| 0513 |   **170** | **27** |
| 0514 |   **261** | **38** |
| 0515 |   **399** | **40** |
| 0516 |   **168** | **31** |
| 0517 |   **13** | **14** |
| 0518 |   **414** | **41** |
| 0519 |   **1188** | **76** |
| 0520 |   **252** | **37** |
| 0521 |   **220** | **32** |
| 0522 |   **162** | **27** |
| 0523 |   **30** | **31** |
| 0524 |   **189** | **34** |
| 0525 |   **24** | **14** |
| 0526 |   **494** | **45** |
| 0527 |   **231** | **32** |
| 0528 |   **266** | **33** |
| 0529 |   **725** | **54** |
| 0530 |   **98** | **21** |
| 0531 |   **272** | **33** |
| 0532 |   **105** | **22** |
| 0533 |   **312** | **37** |
| 0534 |   **238** | **31** |
| 0535 |   **216** | **30** |
| 0536 |   **225** | **34** |
| 0537 |   **435** | **44** |
| 0538 |   **168** | **26** |
| 0539 |   **378** | **41** |
| 0540 |   **105** | **26** |
| 0541 |   **84** | **20** |
| 0542 |   **648** | **51** |
| 0543 |   **432** | **42** |
| 0544 |   **5** | **6** |
| 0545 |   **70** | **19** |
| 0546 |   **50** | **15** |
| 0547 |   **260** | **36** |
| 0548 |   **560** | **48** |
| 0549 |   **360** | **38** |
| 0550 |   **75** | **20** |
| 0551 |   **90** | **23** |
| 0552 |   **261** | **38** |
| 0553 |   **27** | **28** |
| 0554 |   **6** | **5** |
| 0555 |   **70** | **19** |
| 0556 |   **120** | **22** |
| 0557 |   **40** | **13** |
| 0558 |   **38** | **21** |
| 0559 |   **260** | **33** |
| 0560 |   **442** | **43** |
| 0561 |   **20** | **21** |
| 0562 |   **145** | **34** |
| 0563 |   **128** | **24** |
| 0564 |   **20** | **21** |
| 0565 |   **150** | **31** |
| 0566 |   **783** | **56** |
| 0567 |   **216** | **30** |
| 0568 |   **252** | **33** |
| 0569 |   **112** | **32** |
| 0570 |   **315** | **36** |
| 0571 |   **250** | **35** |
| 0572 |   **108** | **21** |
| 0573 |   **272** | **33** |
| 0574 |   **312** | **37** |
| 0575 |   **280** | **38** |
| 0576 |   **165** | **26** |
| 0577 |   **572** | **48** |
| 0578 |   **75** | **28** |
| 0579 |   **140** | **24** |
| 0580 |   **672** | **52** |
| 0581 |   **168** | **31** |
| 0582 |   **42** | **17** |
| 0583 |   **275** | **36** |
| 0584 |   **253** | **34** |
| 0585 |   **104** | **30** |
| 0586 |   **17** | **18** |
| 0587 |   **616** | **50** |
| 0588 |   **870** | **59** |
| 0589 |   **189** | **34** |
| 0590 |   **416** | **42** |
| 0591 |   **434** | **45** |
| 0592 |   **60** | **23** |
| 0593 |   **276** | **35** |
| 0594 |   **40** | **22** |
| 0595 |   **40** | **14** |
| 0596 |   **76** | **23** |
| 0597 |   **240** | **31** |
| 0598 |   **360** | **39** |
| 0599 |   **90** | **23** |
| 0600 |   **368** | **39** |
| 0601 |   **125** | **30** |
| 0602 |   **540** | **47** |
| 0603 |   **12** | **7** |
| 0604 |   **56** | **18** |
| 0605 |   **324** | **39** |
| 0606 |   **345** | **38** |
| 0607 |   **304** | **35** |
| 0608 |   **672** | **52** |
| 0609 |   **899** | **60** |
| 0610 |   **72** | **17** |
| 0611 |   **34** | **19** |
| 0612 |   **140** | **33** |
| 0613 |   **360** | **39** |
| 0614 |   **690** | **53** |
| 0615 |   **54** | **15** |
| 0616 |   **136** | **25** |
| 0617 |   **434** | **45** |
| 0618 |   **250** | **35** |
| 0619 |   **338** | **39** |
| 0620 |   **403** | **44** |
| 0621 |   **279** | **40** |
| 0622 |   **40** | **22** |
| 0623 |   **384** | **40** |
| 0624 |   **40** | **14** |
| 0625 |   **520** | **46** |
| 0626 |   **99** | **20** |
| 0627 |   **120** | **29** |
| 0628 |   **69** | **26** |
| 0629 |   **323** | **36** |
| 0630 |   **252** | **32** |
| 0631 |   **21** | **22** |
| 0632 |   **112** | **23** |
| 0633 |   **116** | **33** |
| 0634 |   **286** | **37** |
| 0635 |   **33** | **14** |
| 0636 |   **96** | **22** |
| 0637 |   **464** | **45** |
| 0638 |   **48** | **19** |
| 0639 |   **192** | **28** |
| 0640 |   **99** | **20** |
| 0641 |   **12** | **13** |
| 0642 |   **270** | **39** |
| 0643 |   **150** | **25** |
| 0644 |   **130** | **31** |
| 0645 |   **240** | **32** |
| 0646 |   **210** | **37** |
| 0647 |   **75** | **28** |
| 0648 |   **285** | **34** |
| 0649 |   **208** | **29** |
| 0650 |   **17** | **18** |
| 0651 |   **182** | **33** |
| 0652 |   **36** | **20** |
| 0653 |   **88** | **26** |
| 0654 |   **4** | **5** |
| 0655 |   **1248** | **76** |
| 0656 |   **396** | **40** |
| 0657 |   **480** | **44** |
| 0658 |   **232** | **37** |
| 0659 |   **48** | **16** |
| 0660 |   **110** | **27** |
| 0661 |   **96** | **22** |
| 0662 |   **102** | **23** |
| 0663 |   **810** | **57** |
| 0664 |   **116** | **33** |
| 0665 |   **216** | **30** |
| 0666 |   **100** | **25** |
